Degree Specification/Program,"Seniors who had taken the SATs, Number
(in thousands) ","Seniors who had taken the SATs, Percentage distribution","Mean Score, Total SAT score","Mean Score, Evidence-based reading and writing (ERW)","Mean Score, Math",,,,,,,,,,,,,,,
All students ,"1,509",100.0,1060,533,528,,,,,,,,,,,,,,,
Bachelor's degree ,233,23.7,1058,533,525,,,,,,,,,,,,,,,
Master's degree ,301,30.7,1136,568,568,,,,,,,,,,,,,,,
Doctor's or related degree ,209,21.3,1187,594,593,,,,,,,,,,,,,,,
Undecided ,125,12.7,1089,545,543,,,,,,,,,,,,,,,
"Agriculture, agriculture operations, and related sciences ",16,1.4,977,497,480,,,,,,,,,,,,,,,
Computer and information sciences and support services ,62,5.3,1182,582,600,,,,,,,,,,,,,,,
Engineering ,120,10.2,1167,573,595,,,,,,,,,,,,,,,
"Liberal arts and sciences, general studies, and humanities ",5,0.4,1181,604,577,,,,,,,,,,,,,,,
Mathematics and statistics ,12,1.0,1273,612,661,,,,,,,,,,,,,,,
"Psychology, general ",48,4.1,1083,556,527,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
